Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Mike Vrabel,43.23,3,1,1,10,1997,2010,66,206,140,11,73,1,24,41,57,762,529,233,63,41
Lee Roy Caffey,42.9,4,1,1,8,1963,1972,62,129,104,11,268,3,87,,17,,,,,
Chip Banks,42.68,0,1,4,10,1982,1992,73,138,136,9,153,1,65,,46,,,,,
Julian Peterson,42.13,0,1,5,9,2000,2010,69,158,147,8,65,0,31,64,51.5,809,602,207,75,42
Jason Gildon,42,0,1,3,8,1994,2004,75,167,126,2,1,0,1,24,80,519,389,130,61,
Jim Houston,41.6,1,0,4,10,1960,1972,67,177,141,14,278,3,79,,29.5,,,,,
Brad Van Pelt,41.28,0,0,5,12,1973,1986,73,184,158,20,135,0,22,,24.5,,,,,
Phil Villapiano,41.2,1,0,4,8,1971,1983,66,163,121,11,160,1,82,,15,,,,,
Donnie Edwards,40.33,0,0,1,11,1996,2008,83,197,180,28,347,4,46,72,23.5,1501,1135,366,66,9
Adalius Thomas,40.18,1,1,2,8,2000,2009,65,135,109,7,185,3,65,53,53,523,411,112,82,49
Jack Pardee,40.15,0,1,1,15,1957,1972,77,196,178,22,305,5,46,,24,,,,,
Shaquille Leonard,39.4,0,3,3,4,2018,2023,60,75,71,12,157,1,80,31,16,637,397,240,34,21
John Anderson,38.88,0,0,0,10,1978,1989,63,146,141,25,167,1,27,,24.5,,,,,
Mike Merriweather,38.45,0,0,3,9,1982,1993,73,149,139,18,299,4,73,,41,,,,,
Keith Bulluck,38.33,0,1,1,9,2000,2010,74,170,138,21,199,1,35,72,18,1109,811,298,61,6
Keena Turner,38.13,4,0,1,9,1980,1990,57,153,118,11,134,0,42,,22.5,,,,,
Karlos Dansby,37.93,0,0,0,13,2004,2017,81,212,193,20,305,6,52,84,43,1422,1077,345,127,64
Roy Winston,37.9,0,0,0,13,1962,1976,81,191,158,12,138,1,29,,15.5,,,,,
Roman Phifer,37.88,3,0,0,12,1991,2005,64,212,177,11,163,0,41,20,29,1135,899,236,26,
Peter Boulware,37.73,1,0,4,7,1997,2005,59,126,102,1,6,0,6,14,70,401,293,108,59,
Darryl Talley,36.98,0,0,2,12,1983,1996,73,216,187,12,189,2,61,,38.5,1252,1190,62,,
William Thomas,36.98,0,0,2,10,1991,2001,73,172,160,27,347,2,46,22,37,886,730,156,21,
Dave Edwards,36.63,1,0,0,11,1963,1975,69,181,164,13,66,1,26,,15.5,,,,,
Robin Cole,36.45,2,0,1,8,1977,1988,62,166,131,5,79,0,34,,29,,,,,
Ken Harvey,36.03,0,0,4,9,1988,1998,65,164,135,1,2,0,2,,89,828,763,65,,
Dan Currie,35.9,2,1,1,7,1958,1966,56,118,92,11,193,1,33,,4.5,,,,,
Jim Lynch,35.85,1,0,1,10,1967,1977,69,151,142,17,191,1,49,,18,,,,,
Wally Hilgenberg,34.88,0,0,0,8,1964,1979,75,199,126,8,62,1,17,,7.5,,,,,
Tim Harris,34.75,1,1,1,6,1986,1995,58,122,92,0,0,0,0,,81,537,536,1,,
D.D. Lewis,34.6,2,0,0,9,1968,1981,61,186,134,8,97,0,29,,15.5,,,,,
