Player,HOFm,Chmp,AP1,PB,St,From,To,wAV,G,GS,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits
Tony Banfield,60.05,2,3,3,5,1960,1965,53,67,61,27,224,0,58,,1,,,,,
Lemar Parrish,59.33,0,1,8,12,1970,1982,95,166,151,47,462,4,65,,0,,,,,
Carnell Lake,58.98,0,1,5,11,1989,2001,83,185,171,16,161,3,47,7,25,823,757,66,7,
Jalen Ramsey,56.4,1,3,7,7,2016,2023,73,118,117,22,260,1,49,97,2,474,393,81,21,5
Nolan Cromwell,56.35,0,3,4,9,1977,1987,71,161,124,37,671,4,94,,2,,,,,
Sam Madison,55.9,1,2,4,10,1997,2008,86,173,154,38,595,2,42,103,2,481,389,92,22,2
Everson Walls,55.1,1,1,4,11,1981,1993,80,186,170,57,504,1,40,,3,,,,,
Eric Berry,54.95,0,3,5,5,2010,2018,50,89,87,14,374,5,54,51,5.5,445,377,68,29,14
Ken Riley,54.85,0,1,0,15,1969,1983,96,207,202,65,596,5,66,,1,,,,,
Eugene Robinson,54.1,1,0,3,15,1985,2000,88,250,232,57,762,1,49,5,7.5,1413,1248,165,4,
Richie Petitbon,52.85,1,1,4,13,1959,1972,85,179,174,48,801,3,101,,2,,,,,
Emmitt Thomas,52.85,1,1,5,11,1966,1978,80,181,157,58,937,5,73,,0,,,,,
Troy Vincent,52.28,0,1,5,13,1992,2006,90,207,200,47,711,3,90,102,5.5,893,741,152,14,1
Albert Lewis,51,0,2,4,13,1983,1998,82,225,188,42,403,1,74,,12.5,832,797,35,,
Asante Samuel,49.83,2,1,4,9,2003,2013,74,157,133,51,728,6,79,164,0,439,398,41,9,0
Pat Fischer,49.8,0,1,3,14,1961,1977,85,213,198,56,941,4,69,,0,,,,,
Lawyer Milloy,49.7,1,1,4,14,1996,2010,78,234,213,25,205,1,38,62,21,1439,1033,406,42,18
Tim McDonald,48.68,1,0,6,12,1987,1999,75,191,187,40,640,4,73,4,9.5,1139,1065,74,5,
Rodney Harrison,48.28,2,2,2,10,1994,2008,69,186,159,34,361,2,75,78,30.5,1206,920,286,40,10
Dick LeBeau,48.2,0,0,3,14,1959,1972,80,185,170,62,762,3,70,,1.5,,,,,
Frank Minnifield,47.75,0,1,4,9,1984,1992,64,122,113,20,124,0,27,,0,,,,,
Dave Brown,47.03,1,0,1,14,1975,1989,75,216,203,62,698,5,90,,1,,,,,
Erich Barnes,46.78,0,1,6,12,1958,1971,76,177,165,45,853,7,102,,0,,,,,
Gary Fencik,46.45,1,1,2,10,1976,1987,78,164,140,38,488,1,69,,4,,,,,
